text,true_label,pred_label,margin_score,error_type
"Great, very fast service. The staff is very friendly and the environment is very relaxing. The sushi is very traditional although there is not too many rolls to choose from. I don't think the fish is worth the prices when there's so many great sushi places in this city. They offe",0,1,2.5234519798048423,false_positive
"Are here tonight In town from Boston. Met the owner Sam very nice guy!!! And our waitress Briana was awesome!!! Attentive, funny and on top of everything!!! I work at a very popular restaurant in Boston called Mike's City Diner and this place was just as good!!! Thanks for the am",0,1,2.3273100841603838,false_positive
"Sadly to say, this used to be a great food cart behind the Gimbel Gym. After they moved into the student union center, though, I've been less impressed with the quality. The crepes are drier and the toppings inside have less sauce than before... although the sweet crepes are almo",0,1,2.011255343227975,false_positive
"I had visited Twenty Manning on several occasions. One of the visits was with a few friends to enjoy a nice dinner at which time, despite making a reservation, had been made to wait for a table for close to 30 minutes and were then put at a rather cramped space. Another time as a",0,1,1.917397010154682,false_positive
"Along with other reviewers, I must preface my comment by saying that the atmosphere and service of this restaurant was impeccable. Next, I absolutely love vegetables, and I reviewed the menu before going to the restaurant, and had read reviews regarding the best options to experi",0,1,1.9126073476507892,false_positive
"I want to love Fuel and I love what they are trying to do, healthy food that tastes great. My only issue with Fuel is consistency. I have never eaten in, only ever takeout. I generally get a panini on wheat bread, often the TBM pesto. I almost always order the Pumpkin cheesecake ",0,1,1.8091804987365043,false_positive
"Headed here for brunch on this rainy chilly Sunday. Got seats at the bar at 11 am, no waiting. Service was great, bartender was friendly and attentive. Atmosphere is awesome - oldies playing, tight tables, but really wonderful energy. Tasty bloody mary - spicy, lots of garnishes,",0,1,1.7292179867741202,false_positive
We went here to try their soup dumplings. It is very good. But we are not satisfied with their service. We went there Sunday during lunch time. It is super crowded. Staff are NOT friendly and NOT accomodating. Also they don't accept credit card. Only CASH.,0,1,1.7211050416743847,false_positive
"Came here for an epic breakfast. My BF and I decide we will split a cheesesteak from both Pat's and Geno's. My verdict goes to Geno's by a slight margin. The meat was more juicy at Geno's that day. Plus, the hot sauce will knock your socks off! Bottom line: neither places serve u",0,1,1.6637125701663973,false_positive
"This is my first review on Yelp and sadly I have to give what used to be one of my very favorite happy hour spots one star. I have been coming to XIX for happy hour for years and I have always loved it. It has a relaxed vibe, its beautiful, and has great bar food. I went today to",0,1,1.5045095646155873,false_positive
"If you're going for Sunday brunch, it's going to be packed. Call 45 minutes to an hour ahead, and you can be seated almost immediately after you arrive. Avoid the orange juice. It's fresh squeezed (apparently by monks), and they hit you for 4 bucks a glass - with no free refills.",0,1,1.4962251707017993,false_positive
"What you need to know: It shares a building with a Pizza Hut. Everything else is the same: filling, but not quite satisfying. Good for on the go though.",0,1,1.4809778975905907,false_positive
Even fair Indian is very good dining--I'm a lover of the cuisine. But this is middling fare.,0,1,1.479252866747908,false_positive
"If you don't know what to expect at M, you might be disappointed with the portions. We've wanted to get here for a while. We knew it was a place with special ambiance, and suspected that although the dishes would be excellent with lovely presentation, they would be small portione",0,1,1.4475320431840673,false_positive
"The menu is full of interesting and ambitious flavor combinations when you read through it it is so difficult to choose. Fear not, no matter what you choose it will be adequately prepared, but not with flare. All of the comments about the indifferent service delivered at a sail's",0,1,1.414874123487978,false_positive
"I took my family to celebrate my sons birthday. We had a party of five including a grand parent. Our server, Candy was fantastic, and the table service was fantastic. The issue we had was the noise. This is a very difficult place to have a conversation across the table because it",0,1,1.331888021636235,false_positive
I used to work for this place and found that they have a rodent problem and management is oblivious to the fact...however they're food is great and their pizza and strombolis are amazing,0,1,1.1922608062243618,false_positive
"Yum. I love my South Philly cheesesteak. This one is good, but I prefer Pat's. I would have given it 3 stars, but the staff is so freaking RUDE and the limited outside table areas are not always kept very clean.",0,1,1.1439553521859298,false_positive
"2 stars on the Roast pork with Broccoli. NOW this place has huge potential to make a good sandwich. The staff was great, service was fast. Food was hot and fresh. They have several meat choices and option for topping off your Philly. I asked the sweet girl at the counter & she re",0,1,1.1258574648052595,false_positive
"Wednesday night quizzo is the best in the city. Great servers and quizzo Kevin is hilarious. I would give it 5 stars, but I hear quizzo Kevin is not coming back, therefore, I won't be back. #BringBackQuizzoKevin #AndTheFriedOreos",0,1,1.0938521509924874,false_positive
Okay,1,0,-2.4959852853815767,false_negative
"they used to be my favorite beer joint in Philly area. however, many things have gone to hell. where should I begin? table service during the day is getting worse. it looks like they under-staff their day shift... or maybe they just hire bad servers? they are OFTEN out of beers d",1,0,-1.874817621241809,false_negative
